f,,f,f,f,f,f,b,f,b,f,f,f,f,f,,f,f,b,f,b,f
f,,f,f,f,f,b,b,f,b,b,f,f,f,f,,f,b,b,f,b,b
f,,f,f,f,f,b,b,f,b,b,f,f,f,f,,f,b,b,f,b,b
f,,f,f,f,f,b,b,f,b,b,f,f,f,f,,f,b,b,f,b,b
f,,f,f,f,f,b,b,f,b,b,f,f,f,f,,f,b,b,f,b,b
f,,f,f,f,f,b,b,f,b,b,f,f,f,f,,f,b,b,f,b,b
f,,f,f,f,b,b,b,f,b,b,b,f,f,f,,f,b,b,f,b,b
f,,f,f,b,b,b,f,f,f,b,b,b,f,f,,f,b,b,f,b,b
f,,f,b,b,b,f,f,b,f,f,b,b,b,f,,f,b,b,f,b,b
f,f-co,b,b,b,f,f,b,b,b,f,f,b,b,b,f-co,f,b,b,f,b,b
f,b,b,b,f,f,b,b,b,b,b,f,f,b,b,b,f,b,b,f,b,b
f,b,b,f,f,b,b,b,f,b,b,b,f,f,b,b,f,b,b,f,b,b
f,f,f,f,b,b,b,f,f,f,b,b,b,f,f,f,f,b,b,f,b,b
b,f,f,b,b,b,f,f,f,f,f,b,b,b,f,f,b,b,b,f,b,b
b,b,f,f,b,f,f,b,f,b,f,f,b,f,f,b,b,b,f,f,f,b
b,b,b,f,f,f,b,b,f,b,b,f,f,f,b,b,b,f,f,b,f,f
f,b,b,b,f,f,b,b,f,b,b,f,f,b,b,b,f,f,b,b,b,f
f,f,b,b,b,f,b,b,f,b,b,f,b,b,b,f,f,b,b,b,b,b
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,b,b,f,b,b
b,b,f,f,f,f,b,b,f,b,b,f,f,f,f,b,b,b,f,f,f,b
b,b,b,f,f,b,b,b,f,b,b,b,f,f,b,b,b,f,f,f,f,f
f,b,f,f,b,b,b,f,f,f,b,b,b,f,f,b,f,f,b,f,b,f
f,f,f,b,b,b,f,f,b,f,f,b,b,b,f,f,f,b,b,f,b,b
f,f,b,b,b,f,f,b,b,b,f,f,b,b,b,f,f,b,b,f,b,b
f,b,b,b,f,f,b,b,b,b,b,f,f,b,b,b,f,b,b,f,b,b
f,b,b,f,f,b,b,b,f,b,b,b,f,f,b,b,f,b,b,f,b,b
f,f,f,f,b,b,b,f,f,f,b,b,b,f,f,f,f,b,b,f,b,b
b,f,f,b,b,b,f,f,f,f,f,b,b,b,f,f,b,b,b,f,b,b
b,b,f,f,b,f,f,b,f,b,f,f,b,f,f,b,b,b,f,f,f,b
b,b,b,f,f,f,b,b,f,b,b,f,f,f,b,b,b,f,f,b,f,f
f,b,b,b,f,f,b,b,f,b,b,f,f,b,b,b,f,f,b,b,b,f
f,f,b,b,b,f,b,b,f,b,b,f,b,b,b,f,f,b,b,b,b,b
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,b,b,f,b,b
b,b,f,f,f,f,b,b,f,b,b,f,f,f,f,b,b,b,f,f,f,b
b,b,b,f,f,b,b,b,f,b,b,b,f,f,b,b,b,f,f,f,f,f
f,b,f,f,b,b,b,f,f,f,b,b,b,f,f,b,f,f,b,f,b,f
f,f,f,b,b,b,f,f,b,f,f,b,b,b,f,f,f,b,b,f,b,b
f,f,b,b,b,f,f,b,b,b,f,f,b,b,b,f,f,b,b,f,b,b
f,b,b,b,f,f,b,b,b,b,b,f,f,b,b,b,f,b,b,f,b,b
f,b,b,f,f,b,b,b,f,b,b,b,f,f,b,b,f,b,b,f,b,b
f,f,f,f,b,b,b,f,f,f,b,b,b,f,f,f,f,b,b,f,b,b
b,f,f,b,b,b,f,f,b,f,f,b,b,b,f,f,b,b,b,f,b,b
b,b,f,f,b,f,f,b,b,b,f,f,b,f,f,b,b,b,f,f,f,b
b,b,b,f,f,f,b,b,b,b,b,f,f,f,b,b,b,f,f,b,f,f
f,b,b,b,f,f,b,b,f,b,b,f,f,b,b,b,f,f,b,b,b,f
f,f,b,b,b,f,b,b,f,b,b,f,b,b,b,f,f,b,b,b,b,b
b,f,f,b,b,f,b,b,f,b,b,f,b,b,f,f,b,b,b,f,b,b
b,b,f,f,f,f,b,b,f,b,b,f,f,f,f,b,b,b,f,f,f,b
b,b,b,f,f,b,b,b,f-k2tog,,b,b,f,f,b,b,b,f,f,f,f,f
f,b,f,f,b,b,b,f,f,,f,b,b,f,f,b,f,f,b,f,b,f
f,f,f,b,b,b,f-k2tog,,,,f,b,b,b,f,f,f,b,b,f,b,b
f,f,b,b,b,f,f,,,,f,f,b,b,b,f,f,b,b,f,b,b
f,b,b,b,f,f,b,,,,,f-k2tog,f,b,b,b,f,b,b,f,b,b
f,b,b,f,f,b,b,,,,,b,f,f,b,b,f,b,b,f,b,b
f,f,f,f,b,b-k2tog,,,,,,b,b,f,f,f,f,b,b,f,b,b
b,f,f,b,b,b,,,,,,b,b,b,f,f,b,b,b,f,b,b
b,b,f,f,b,f,,,,,,,b-k2tog,f,f,b,b,b,f,f,f,b
b,b,b,f,f,f,,,,,,,f,f,b,b,b,f,f,b,f,f
f,b,b,b,f-k2tog,,,,,,,,f,b,b,b,f,f,b,b,b,f
f,f,b,b,f,,,,,,,,f,b,b,f,f,b,b,b,b,b
b,f,f,b,f,,,,,,,,,f-k2tog,f,f,b,b,b,f,b,b
b,b,f,f,f,,,,,,,,,f,b,b,b,b,f,f,f,b
b,b,b,f-k2tog,,,,,,,,,,f,b,b,b,f,f,f,f,f
f,b,b,f,,,,,,,,,,f,f,b,f,f,b,f,b,f
f,f,f,f,,,,,,,,,,,f-k2tog,f,f,b,b,f,b,b
f,f,f,b,,,,,,,,,,,b,f,f,b,b,f,b,b
f,f,b-k2tog,,,,,,,,,,,,b,f,f,b,b,f,b,b
f,f,b,,,,,,,,,,,,,b-k2tog,f,b,b,f,b,b
f,f,f,,,,,,,,,,,,,f,f,b,b,f,b,b
b,f-k2tog,,,,,,,,,,,,,,f,b,b,b,f,b,b
b,b,,,,,,,,,,,,,,b,b,b,f,f,f,b
b,b,,,,,,,,,,,,,,,b-k2tog,f,f,b,f,f
f-k2tog,,,,,,,,,,,,,,,,f,f,b,b,b,f
f,,,,,,,,,,,,,,,,f,b,b,b,b,b
b,,,,,,,,,,,,,,,,,b-k2tog,b,f,b,b
